count,count,size,size
2983.65,0.8750939799154207,4142.417795796628,2.783295284013206
2983.65,0.8750939799154207,4142.509466925325,2.9110563576477477
2983.65,0.8750939799154207,4142.461617833019,3.0174561274165472
2983.6,0.9403246919632545,4142.513383443256,2.737473577813658
2983.6,0.9403246919632545,4142.541669449283,2.641334748094519
2983.55,0.9445132413883329,4142.486821602304,3.014165457841001
2983.5,0.9459053029269173,4142.440164978102,3.0891536193295255
2983.45,0.9445132413883329,4142.25189942869,2.7465689595635294
2983.45,0.9445132413883329,4142.407879889549,2.964180123901531
2983.45,0.9445132413883329,4141.802300821514,3.289203852936679
2983.4,0.9403246919632546,4142.159438078831,3.325959795389014
2983.35,0.9333020044867297,4142.336146887752,3.3151185825614284
2983.35,0.9333020044867297,4142.488909947586,3.1532230227473645
